GENE,CHR,STRAND,START,STOP,SIZE
VAV2,9,-,136627015,136857446,230432
VAV3,1,-,108113781,108507545,393765
VAV3-AS1,1,+,108507064,108537229,30166
VAX1,10,-,118888031,118897812,9782
VAX2,2,+,71127719,71160575,32857
VBP1,X,+,154444700,154468098,23399
VCAM1,1,+,101185195,101204601,19407
VCAN,5,+,82767492,82878122,110631
VCL,10,+,75757871,75879914,122044
VCP,9,-,35056064,35072739,16676
VCPIP1,8,-,67542487,67579452,36966
VCPKMT,14,-,50575349,50583297,7949
VCX,X,+,7810302,7812184,1883
VCX2,X,-,8137984,8139308,1325
VCX3A,X,-,6451658,6453159,1502
VCX3B,X,+,8432870,8434551,1682
VCY,Y,-,16097651,16098392,742
VCY,Y,+,16168097,16168838,742
VCY1B,Y,-,16097651,16098388,738
VCY1B,Y,+,16168101,16168838,738
VDAC1,5,-,133307565,133340824,33260
VDAC2,10,+,76969911,76991207,21297
VDAC3,8,+,42249278,42263455,14178
VDR,12,-,48235319,48298814,63496
VEGFA,6,+,43737945,43754223,16279
VEGFB,11,+,64002055,64006736,4682
VEGFC,4,-,177604684,177713899,109216
VENTX,10,+,135051407,135055434,4028
VENTXP1,X,+,26576453,26579169,2717
VENTXP7,3,+,21447217,21448177,961
VEPH1,3,-,156977531,157221415,243885
VEZF1,17,-,56048909,56065615,16707
VEZT,12,+,95611521,95696566,85046
VGF,7,-,100805789,100808852,3064
VGLL1,X,+,135614310,135638966,24657
VGLL2,6,+,117586720,117594728,8009
VGLL3,3,-,86987122,87040257,53136
VGLL4,3,-,11597540,11762242,164703
VHL,3,+,10183318,10195354,12037
VHLL,1,-,156268414,156269428,1015
VIL1,2,+,219283837,219314248,30412
VILL,3,+,38035077,38048676,13600
VIM,10,+,17270257,17279592,9336
VIM-AS1,10,-,17256237,17271984,15748
VIMP,15,-,101811113,101817725,6613
VIP,6,+,153071931,153080902,8972
VIPAS39,14,-,77893017,77923983,30967
VIPR1,3,+,42530790,42579065,48276
VIPR1-AS1,3,-,42572387,42574098,1712
VIPR2,7,-,158820865,158937649,116785
VIT,2,+,36923832,37041937,118106
VKORC1,16,-,31102174,31106276,4103
VKORC1L1,7,+,65338256,65424550,86295
VLDLR,9,+,2621792,2654485,32694
VLDLR-AS1,9,-,2535654,2622373,86720
VMA21,X,+,150565656,150577836,12181
VMAC,19,+,5904851,5910263,5413
VMO1,17,-,4688579,4689729,1151
VMP1,17,+,57784862,57917952,133091
VN1R1,19,-,57966541,57968107,1567
VN1R10P,6,+,27292539,27293741,1203
VN1R2,19,+,53761544,53762855,1312
VN1R4,19,-,53770012,53770918,907
VN1R5,1,+,247419373,247420447,1075
VNN1,6,-,133001996,133035194,33199
VNN2,6,-,133065008,133084598,19591
VNN3,6,-,133043925,133055904,11980
VOPP1,7,-,55538300,55640200,101901
VPRBP,3,-,51433297,51534018,100722
VPREB1,22,+,22599199,22599926,728
VPREB3,22,-,24094929,24096630,1702
VPS11,11,+,118938462,118952688,14227
VPS13A,9,+,79792360,80032399,240040
VPS13A-AS1,9,-,79791671,79792833,1163
VPS13B,8,+,100025493,100889814,864322
VPS13C,15,-,62144589,62352664,208076
VPS13D,1,+,12290112,12572098,281987
VPS16,20,+,2821342,2847378,26037
VPS18,15,+,41186627,41196173,9547
VPS25,17,+,40925453,40931618,6166
VPS26A,10,+,70883907,70932616,48710
VPS26B,11,+,134094560,134117686,23127
VPS28,8,-,145648983,145653946,4964
VPS29,12,-,110929327,110939945,10619
VPS33A,12,-,122716093,122751068,34976
VPS33B,15,-,91541645,91565851,24207
VPS35,16,-,46693588,46723144,29557
VPS36,13,-,52986736,53024813,38078
VPS37A,8,+,17104400,17155533,51134
VPS37B,12,-,123349874,123380712,30839
VPS37C,11,-,60897727,60928916,31190
VPS37D,7,+,73082173,73086440,4268
VPS39,15,-,42450898,42500524,49627
VPS41,7,-,38763542,38948800,185259
VPS45,1,+,150039349,150117505,78157
VPS4A,16,+,69345286,69358946,13661
VPS4B,18,-,61056424,61089752,33329
VPS51,11,+,64863586,64879332,15747
VPS52,6,-,33218048,33239742,21695
VPS53,17,-,411907,618096,206190
VPS54,2,-,64119666,64246214,126549
VPS72,1,-,151148775,151162689,13915
VPS8,3,+,184529930,184770402,240473
VPS9D1,16,-,89773540,89787394,13855
VPS9D1-AS1,16,+,89778263,89784573,6311
VRK1,14,+,97263683,97347951,84269
VRK2,2,+,58134785,58387055,252271
VRK3,19,-,50479723,50528805,49083
VRTN,14,+,74815165,74826711,11547
VSIG1,X,+,107288199,107322414,34216
VSIG10,12,-,118501397,118541810,40414
VSIG10L,19,-,51834794,51845378,10585
VSIG2,11,-,124617369,124622109,4741
VSIG4,X,-,65241579,65259967,18389
VSIG8,1,-,159824105,159832447,8343
VSNL1,2,+,17721806,17837706,115901
VSTM1,19,-,54544079,54567207,23129
VSTM2A,7,+,54610017,54638773,28757
VSTM2A-OT1,7,+,54624662,54639419,14758
VSTM2B,19,+,30017490,30055226,37737
VSTM2L,20,+,36531498,36573747,42250
VSTM4,10,-,50222289,50323577,101289
VSTM5,11,-,93553734,93583668,29935
VSX1,20,-,25051520,25063015,11496
VSX2,14,+,74706174,74729441,23268
VTA1,6,+,142468298,142542085,73788
VTCN1,1,-,117686208,117753582,67375
VTI1A,10,+,114206755,114578504,371750
VTI1B,14,-,68117866,68141602,23737
VTN,17,-,26694298,26697373,3076
VTRNA1-1,5,+,140090860,140090958,99
VTRNA1-2,5,+,140098510,140098598,89
VTRNA1-3,5,+,140105743,140105831,89
VTRNA2-1,5,-,135416186,135416286,101
VWA1,1,+,1370902,1378262,7361
VWA2,10,+,115999012,116054259,55248
VWA3A,16,+,22103858,22168287,64430
VWA3B,2,+,98703594,98929410,225817
VWA5A,11,+,123986110,124017618,31509
VWA5B1,1,+,20617411,20681387,63977
VWA5B2,3,+,183948316,183960117,11802
VWA7,6,-,31733370,31745108,11739
VWA8,13,-,42140960,42535221,394262
VWA8-AS1,13,+,42535304,42555701,20398
VWA9,15,-,65871095,65903627,32533
VWC2,7,+,49813256,49952138,138883
VWC2L,2,+,215276460,215440653,164194
VWC2L-IT1,2,+,215374905,215401613,26709
VWCE,11,-,61025757,61062788,37032
VWDE,7,-,12370508,12443852,73345
VWF,12,-,6058039,6233836,175798
WAC,10,+,28821516,28912041,90526
WAC-AS1,10,-,28808845,28821283,12439
WAPAL,10,-,88195012,88281541,86530
WARS,14,-,100800124,100842680,42557
WARS2,1,-,119573838,119683295,109458
WAS,X,+,48542185,48549817,7633
WASF1,6,-,110421021,110501207,80187
WASF2,1,-,27730733,27816678,85946
WASF3,13,+,27131839,27263082,131244
WASH1,9,-,14510,29739,15230
WASH2P,2,+,114341229,114356613,15385
WASH3P,15,+,102501015,102516808,15794
WASH5P,19,-,60950,70966,10017
WASH7P,1,-,14361,29370,15010
WASL,7,-,123321980,123389125,67146
WBP1,2,+,74685526,74688018,2493
WBP11,12,-,14939411,14956401,16991
WBP11P1,18,+,30091625,30094597,2973
WBP1L,10,+,104503726,104576021,72296
WBP2,17,-,73841779,73851501,9723
WBP2NL,22,+,42394728,42424477,29750
WBP4,13,+,41635696,41658139,22444
WBP5,X,+,102611379,102613397,2019
WBSCR16,7,-,74441223,74489717,48495
WBSCR17,7,+,70597522,71178586,581065
WBSCR22,7,+,73097897,73112551,14655
WBSCR27,7,-,73248920,73256855,7936
WBSCR28,7,+,73275488,73280223,4736
WDFY1,2,-,224740064,224810052,69989
WDFY2,13,+,52158483,52336171,177689
WDFY3,4,-,85590692,85887544,296853
WDFY3-AS2,4,+,85887970,85928168,40199
WDFY4,10,+,49893517,50191001,297485
WDHD1,14,-,55405655,55493819,88165
WDPCP,2,-,63348534,63815867,467334
WDR1,4,-,10075962,10118573,42612
WDR11,10,+,122610686,122669038,58353
WDR11-AS1,10,-,122521323,122610691,89369
WDR12,2,-,203745322,203776949,31628
WDR13,X,+,48455879,48463582,7704
WDR17,4,+,176986984,177103979,116996
WDR18,19,+,984327,994569,10243
WDR19,4,+,39184023,39287430,103408
WDR20,14,+,102606188,102690010,83823
WDR24,16,-,734701,740400,5700
WDR25,14,+,100842754,100996640,153887
WDR26,1,-,224572844,224622001,49158
WDR27,6,-,169857302,170102159,244858
WDR3,1,+,118472371,118503049,30679
WDR31,9,-,116077930,116102620,24691
WDR33,2,-,128461807,128568761,106955
WDR34,9,-,131395939,131419129,23191
WDR35,2,-,20110028,20189884,79857
WDR36,5,+,110427869,110466200,38332
WDR37,10,+,1102775,1178237,75463
WDR38,9,+,127615695,127620170,4476
WDR4,21,-,44263189,44299699,36511
WDR41,5,-,76728068,76788332,60265
WDR43,2,+,29117508,29171086,53579
WDR44,X,+,117480035,117583923,103889
WDR45,X,-,48932091,48958059,25969
WDR45B,17,-,80572437,80606411,33975
WDR46,6,-,33246879,33257304,10426
WDR47,1,-,109512837,109584850,72014
WDR48,3,+,39093506,39137881,44376
WDR49,3,-,167196472,167371289,174818
WDR5,9,+,137001209,137025094,23886
WDR53,3,-,196281058,196295413,14356
WDR54,2,+,74648884,74652882,3999
WDR55,5,+,140044383,140050553,6171
WDR59,16,-,74907470,75019017,111548
WDR5B,3,-,122130699,122134882,4184
WDR6,3,+,49044636,49053386,8751
WDR60,7,+,158649268,158738883,89616
WDR61,15,-,78575577,78591940,16364
WDR62,19,+,36545782,36596012,50231
WDR63,1,+,85527980,85598821,70842
WDR64,1,+,241815579,241965434,149856
WDR66,12,+,122356462,122441832,85371
WDR7,18,+,54318615,54697036,378422
WDR70,5,+,37379411,37752774,373364
WDR72,15,-,53805937,54055075,249139
WDR73,15,-,85186011,85197521,11511
WDR74,11,-,62600382,62607628,7247
WDR75,2,+,190306158,190340264,34107
WDR76,15,+,44119111,44160617,41507
WDR77,1,-,111982511,111991830,9320
WDR78,1,-,67278571,67390570,112000
WDR81,17,+,1619816,1641893,22078
WDR82,3,-,52288437,52312659,24223
WDR83,19,+,12777617,12786646,9030
WDR83OS,19,-,12778880,12780465,1586
WDR86,7,-,151078206,151107791,29586
WDR86-AS1,7,+,151106246,151110440,4195
WDR87,19,-,38375462,38397346,21885
WDR88,19,+,33622997,33666703,43707
WDR89,14,-,64063756,64108641,44886
WDR90,16,+,699362,717829,18468
WDR91,7,-,134868589,134896316,27728
WDR92,2,-,68357280,68384692,27413
WDR93,15,+,90234027,90286869,52843
WDSUB1,2,-,160092303,160143236,50934
WDTC1,1,+,27561006,27635124,74119
WDYHV1,8,+,124428964,124454480,25517
WEE1,11,+,9595227,9611313,16087
WEE2,7,+,141408152,141431071,22920
WEE2-AS1,7,-,141404137,141438030,33894
WFDC1,16,+,84328311,84363457,35147
WFDC10A,20,+,44258384,44259831,1448
WFDC10B,20,-,44313289,44333658,20370
WFDC11,20,-,44277201,44298878,21678
WFDC12,20,-,43752066,43753106,1041
WFDC13,20,+,44330654,44337456,6803
WFDC2,20,+,44098393,44110172,11780
WFDC21P,17,-,58160926,58165828,4903
WFDC3,20,-,44402846,44420547,17702
WFDC5,20,-,43738092,43743813,5722
WFDC6,20,-,44162835,44168134,5300
WFDC8,20,-,44179790,44207965,28176
WFDC9,20,-,44236577,44259907,23331
WFIKKN1,16,+,681011,684116,3106
WFIKKN2,17,+,48912604,48919709,7106
WFS1,4,+,6271576,6304992,33417
WHAMM,15,+,83478379,83503613,25235
WHAMMP1,15,-,32812048,32825942,13895
WHAMMP2,15,+,28982728,29003508,20781
WHAMMP3,15,-,23187728,23208357,20630
WHSC1,4,+,1873122,1983934,110813
WHSC1L1,8,-,38132560,38239790,107231
WI2-2373I1.2,7,+,330135,331454,1320
WIBG,12,-,56295196,56321697,26502
WIF1,12,-,65444403,65515346,70944
WIPF1,2,-,175424301,175547627,123327
WIPF2,17,+,38375573,38438439,62867
WIPF3,7,+,29846169,29956682,110514
WIPI1,17,-,66417421,66453653,36233
WIPI2,7,+,5229834,5273486,43653
WISP1,8,+,134203281,134243932,40652
WISP2,20,+,43343884,43356452,12569
WISP3,6,+,112375277,112390887,15611
WIZ,19,-,15532317,15560762,28446
WLS,1,-,68564141,68698284,134144
WNK1,12,+,862088,1020618,158531
WNK2,9,+,95947211,96082854,135644
WNK3,X,-,54219255,54384438,165184
WNK4,17,+,40932648,40949084,16437
WNT1,12,+,49372235,49376396,4162
WNT10A,2,+,219745254,219758651,13398
WNT10B,12,-,49359122,49365641,6520
WNT11,11,-,75897369,75917574,20206
WNT16,7,+,120965420,120981158,15739
WNT2,7,-,116916685,116963343,46659
WNT2B,1,+,113009162,113063910,54749
WNT3,17,-,44839871,44896126,56256
WNT3A,1,+,228194722,228248972,54251
WNT4,1,-,22443797,22469519,25723
WNT5A,3,-,55499742,55521670,21929
WNT5B,12,+,1726221,1756378,30158
WNT6,2,+,219724545,219738954,14410
WNT7A,3,-,13860081,13921618,61538
WNT7B,22,-,46316247,46373008,56762
WNT8A,5,+,137419580,137428054,8475
WNT8B,10,+,102222811,102243399,20589
WNT9A,1,-,228109164,228135676,26513
WNT9B,17,+,44928967,44954437,25471
WRAP53,17,+,7589388,7606820,17433
WRAP73,1,-,3547330,3566671,19342
WRB,21,+,40752212,40769815,17604
WRN,8,+,30890777,31031277,140501
WRNIP1,6,+,2765665,2785979,20315
WSB1,17,+,25621105,25640645,19541
WSB2,12,-,118470496,118499979,29484
WSCD1,17,+,5973933,6027747,53815
WSCD2,12,+,108523510,108644313,120804
WT1,11,-,32409321,32457081,47761
WT1-AS,11,+,32457063,32480315,23253
WTAP,6,+,160148029,160177352,29324
WTAPP1,11,+,102654406,102707497,53092
WTH3DI,2,-,132118064,132121731,3668
WTIP,19,+,34972879,34992085,19207
WWC1,5,+,167719064,167899308,180245
WWC2,4,+,184020462,184241929,221468
WWC2-AS2,4,-,184018173,184020352,2180
WWC3,X,+,9983794,10112518,128725
WWOX,16,+,78133309,79246564,1113256
WWP1,8,+,87354993,87480178,125186
WWP2,16,+,69796186,69975644,179459
WWTR1,3,-,149235021,149421060,186040
WWTR1-AS1,3,+,149375996,149379149,3154
XAB2,19,-,7684410,7694439,10030
XAF1,17,+,6659155,6678964,19810
XAGE1B,X,-,52255219,52546197,290979
XAGE1B,X,+,52238809,52516904,278096
XAGE1E,X,-,52255219,52546197,290979
XAGE1E,X,+,52238809,52516904,278096
XAGE2,X,-,52380347,52387021,6675
XAGE2,X,+,52112152,52118826,6675
XAGE3,X,-,52891557,52897119,5563
XAGE5,X,+,52841227,52847322,6096
XBP1,22,-,29190547,29196560,6014
XCL1,1,+,168545710,168551315,5606
XCL2,1,-,168510002,168513235,3234
XCR1,3,-,46062290,46068979,6690
XDH,2,-,31557187,31637611,80425
XG,X,+,2670092,2734541,64450
XGY2,X,+,2670336,2693037,22702
XGY2,Y,+,2620336,2643037,22702
XIAP,X,+,122993661,123047829,54169
XIRP1,3,-,39224705,39234085,9381
XIRP2,2,+,167744996,168116261,371266
XIRP2-AS1,2,-,167979318,167997465,18148
XIST,X,-,73040485,73072588,32104
XK,X,+,37545132,37591383,46252
XKR3,22,-,17264305,17302584,38280
XKR4,8,+,56015016,56438710,423695
XKR5,8,-,6666040,6693166,27127
XKR6,8,-,10753656,11058875,305220
XKR7,20,+,30555804,30586256,30453
XKR8,1,+,28286503,28294604,8102
XKR9,8,+,71581599,71648177,66579
XKRX,X,-,100168430,100183898,15469
XKRY,Y,-,19880859,19882440,1582
XKRY,Y,+,20297334,20298915,1582
XKRY2,Y,-,19880859,19882440,1582
XKRY2,Y,+,20297334,20298915,1582
XPA,9,-,100437190,100459691,22502
XPC,3,-,14186647,14220172,33526
XPNPEP1,10,-,111624523,111683311,58789
XPNPEP2,X,+,128872945,128903525,30581
XPNPEP3,22,+,41253084,41328823,75740
XPO1,2,-,61705068,61765418,60351
XPO4,13,-,21351467,21476913,125447
XPO5,6,-,43490067,43543812,53746
XPO6,16,-,28109297,28223239,113943
XPO7,8,+,21777179,21864096,86918
XPOT,12,+,64798152,64842463,44312
XPR1,1,+,180601145,180859415,258271
XRCC1,19,-,44047463,44079730,32268
XRCC2,7,-,152343586,152373250,29665
XRCC3,14,-,104163953,104181823,17871
XRCC4,5,+,82373316,82649579,276264
XRCC5,2,+,216974019,217071016,96998
XRCC6,22,+,42017166,42060052,42887
XRCC6BP1,12,+,58335444,58351052,15609
XRCC6P5,X,-,98716599,99194841,478243
XRN1,3,-,142025448,142166904,141457
XRN2,20,+,21283941,21370463,86523
XRRA1,11,-,74551954,74660232,108279
XXYLT1,3,-,194789012,194991895,202884
XXYLT1-AS1,3,+,194815316,194816786,1471
XXYLT1-AS2,3,+,194868599,194873585,4987
XYLB,3,+,38388250,38456467,68218
XYLT1,16,-,17196180,17564738,368559
XYLT2,17,+,48423392,48438546,15155
YAE1D1,7,+,39605974,39651688,45715
YAF2,12,-,42550906,42632154,81249
YAP1,11,+,101981191,102104154,122964
YARS,1,-,33240839,33283633,42795
YARS2,12,-,32899477,32908887,9411
YBEY,21,+,47706266,47717665,11400
YBX1,1,+,43148065,43168020,19956
YBX2,17,-,7191570,7197876,6307
YBX3,12,-,10851675,10875953,24279
YBX3P1,16,-,31579087,31580845,1759
YDJC,22,-,21982377,21984340,1964
YEATS2,3,+,183415605,183530413,114809
YEATS4,12,+,69753489,69784650,31162
YES1,18,-,721591,812327,90737
YIF1A,11,-,66052050,66056638,4589
YIF1B,19,-,38794199,38806606,12408
YIPF1,1,-,54317391,54355487,38097
YIPF2,19,-,11033443,11039357,5915
YIPF3,6,-,43479564,43484728,5165
YIPF4,2,+,32502957,32531658,28702
YIPF5,5,-,143537722,143550278,12557
YIPF6,X,+,67718623,67757127,38505
YIPF7,4,-,44624353,44653658,29306
YJEFN3,19,+,19639669,19648393,8725
YKT6,7,+,44240577,44253893,13317
YLPM1,14,+,75230068,75304013,73946
YME1L1,10,-,27399039,27443349,44311
YOD1,1,-,207217193,207226325,9133
YPEL1,22,-,22051825,22090071,38247
YPEL2,17,+,57409052,57479095,70044
YPEL3,16,-,30103634,30107537,3904
YPEL4,11,-,57412559,57417417,4859
YPEL5,2,+,30369749,30383399,13651
YRDC,1,-,38268613,38273865,5253
YTHDC1,4,-,69176104,69215824,39721
YTHDC2,5,+,112849390,112930984,81595
YTHDF1,20,-,61826781,61847538,20758
YTHDF2,1,+,29063132,29096287,33156
YTHDF3,8,+,64081111,64125346,44236
YTHDF3-AS1,8,-,64080283,64081001,719
YWHAB,20,+,43514239,43537175,22937
YWHAE,17,-,1247833,1303556,55724
YWHAEP1,7,+,63894070,63895895,1826
YWHAEP7,17,-,36202572,36244363,41792
YWHAG,7,-,75956107,75988342,32236
YWHAH,22,+,32340478,32353590,13113
YWHAQ,2,-,9724095,9771184,47090
YWHAZ,8,-,101930803,101965623,34821
YY1,14,+,100705101,100745371,40271
YY1AP1,1,-,155629232,155658823,29592
YY1P2,2,+,139654893,139656744,1852
YY2,X,+,21874104,21876845,2742
ZACN,17,+,74075262,74078885,3624
ZADH2,18,-,72909277,72921281,12005
ZAK,2,+,173940564,174132737,192174
ZAN,7,+,100331248,100395419,64172
ZAP70,2,+,98330030,98356323,26294
ZAR1,4,+,48492268,48496406,4139
ZAR1L,13,-,32877907,32886091,8185
ZASP,7,-,100171657,100172356,700
ZBBX,3,-,166958076,167098085,140010
ZBED1,X,-,2404454,2419008,14555
ZBED1,Y,-,2354454,2369008,14555
ZBED2,3,-,111311746,111314182,2437
ZBED3,5,-,76372531,76383030,10500
ZBED3-AS1,5,+,76382622,76444176,61555
ZBED4,22,+,50247496,50283726,36231
ZBED5,11,-,10874250,10879620,5371
ZBED5-AS1,11,+,10879763,10900823,21061
ZBED6,1,+,203766650,203769590,2941
ZBED6CL,7,+,150026937,150029811,2875
ZBED8,5,-,159820154,159827060,6907
ZBED9,6,-,28539406,28555112,15707
ZBP1,20,-,56178901,56195632,16732
ZBTB1,14,+,64971291,65000408,29118
ZBTB10,8,+,81397853,81438500,40648
ZBTB11,3,-,101368282,101395988,27707
ZBTB11-AS1,3,+,101395273,101398057,2785
ZBTB12,6,-,31867393,31869769,2377
ZBTB14,18,-,5289017,5297052,8036
ZBTB16,11,+,113930430,114121397,190968
ZBTB17,1,-,16268363,16302627,34265
ZBTB18,1,+,244212240,244220780,8541
ZBTB2,6,-,151685249,151712677,27429
ZBTB20,3,-,114033346,114866127,832782
ZBTB20-AS1,3,+,114070657,114107825,37169
ZBTB20-AS4,3,+,114819269,114821908,2640
ZBTB21,21,-,43406939,43430496,23558
ZBTB22,6,-,33282181,33285719,3539
ZBTB24,6,-,109783718,109804440,20723
ZBTB25,14,-,64953554,64970554,17001
ZBTB26,9,-,125680377,125693779,13403
ZBTB3,11,-,62518434,62521656,3223
ZBTB32,19,+,36203829,36207940,4112
ZBTB33,X,+,119384606,119392251,7646
ZBTB34,9,+,129622943,129648156,25214
ZBTB37,1,+,173837492,173855774,18283
ZBTB38,3,+,141043054,141168632,125579
ZBTB39,12,-,57392616,57400297,7682
ZBTB4,17,-,7362684,7387568,24885
ZBTB40,1,+,22778343,22857650,79308
ZBTB41,1,-,197122813,197169672,46860
ZBTB42,14,+,105266932,105271048,4117
ZBTB43,9,+,129567284,129600487,33204
ZBTB44,11,-,130096573,130184607,88035
ZBTB45,19,-,59024896,59030921,6026
ZBTB46,20,-,62375020,62436856,61837
ZBTB46-AS1,20,+,62439428,62454360,14933
ZBTB47,3,+,42695175,42709072,13898
ZBTB48,1,+,6640050,6649340,9291
ZBTB49,4,+,4291923,4323513,31591
ZBTB5,9,-,37438099,37465407,27309
ZBTB6,9,-,125670334,125675607,5274
ZBTB7A,19,-,4045215,4066816,21602
ZBTB7B,1,+,154975105,154991001,15897
ZBTB7C,18,-,45553638,45663680,110043
ZBTB8A,1,+,33004745,33071551,66807
ZBTB8B,1,+,32930657,32953459,22803
ZBTB8OS,1,-,33087306,33116185,28880
ZBTB9,6,+,33422355,33425320,2966
ZC2HC1A,8,+,79578281,79631997,53717
ZC2HC1B,6,+,144185572,144259483,73912
ZC2HC1C,14,+,75536279,75546690,10412
ZC3H10,12,+,56512029,56516278,4250
ZC3H11A,1,+,203764750,203823256,58507
ZC3H12A,1,+,37940118,37949978,9861
ZC3H12B,X,+,64708614,64727767,19154
ZC3H12C,11,+,109964086,110042566,78481
ZC3H12D,6,-,149768765,149806148,37384
ZC3H13,13,-,46536313,46626896,90584
ZC3H14,14,+,89029252,89079853,50602
ZC3H15,2,+,187350884,187374087,23204
ZC3H18,16,+,88636788,88698372,61585
ZC3H3,8,-,144519824,144623620,103797
ZC3H4,19,-,47567446,47617009,49564
ZC3H6,2,+,113033177,113097640,64464
ZC3H7A,16,-,11844441,11891114,46674
ZC3H7B,22,+,41697506,41756151,58646
ZC3H8,2,-,112973438,113012664,39227
ZC3HAV1,7,-,138728265,138794465,66201
ZC3HAV1L,7,-,138710451,138720775,10325
ZC3HC1,7,-,129658125,129691291,33167
ZC4H2,X,-,64135681,64254624,118944
ZCCHC10,5,-,132332676,132362275,29600
ZCCHC11,1,-,52888947,53018762,129816
ZCCHC12,X,+,117957786,117960931,3146
ZCCHC13,X,+,73524024,73524869,846
ZCCHC14,16,-,87439851,87525460,85610
ZCCHC16,X,+,111326252,111700473,374222
ZCCHC17,1,+,31769828,31837800,67973
ZCCHC18,X,+,103357216,103360538,3323
ZCCHC2,18,+,60190657,60245818,55162
ZCCHC24,10,-,81142082,81205383,63302
ZCCHC3,20,+,278203,280963,2761
ZCCHC4,4,+,25314395,25372005,57611
ZCCHC5,X,-,77911565,77914825,3261
ZCCHC6,9,-,88902647,88969402,66756
ZCCHC7,9,+,37120468,37358145,237678
ZCCHC8,12,-,122956145,122985620,29476
ZCCHC9,5,+,80597401,80608965,11565
ZCRB1,12,-,42705887,42719932,14046
ZCWPW1,7,-,99998494,100026431,27938
ZCWPW2,3,+,28431986,28566632,134647
ZDBF2,2,+,207139364,207179150,39787
ZDHHC1,16,-,67428321,67450339,22019
ZDHHC11,5,-,795719,851101,55383
ZDHHC12,9,-,131483148,131486408,3261
ZDHHC13,11,+,19138691,19197967,59277
ZDHHC14,6,+,157802556,158094977,292422
ZDHHC15,X,-,74588261,74743337,155077
ZDHHC16,10,+,99205887,99217127,11241
ZDHHC17,12,+,77157853,77247474,89622
ZDHHC18,1,+,27153200,27182211,29012
ZDHHC19,3,-,195924322,195938300,13979
ZDHHC2,8,+,17013835,17080241,66407
ZDHHC20,13,-,21946709,22033509,86801
ZDHHC21,9,-,14611068,14693480,82413
ZDHHC22,14,-,77597612,77608134,10523
ZDHHC23,3,+,113666747,113681827,15081
ZDHHC24,11,-,66306734,66313671,6938
ZDHHC3,3,-,44956752,45017674,60923
ZDHHC4,7,+,6617064,6628610,11547
ZDHHC5,11,+,57435473,57468659,33187
ZDHHC6,10,-,114190057,114206672,16616
ZDHHC7,16,-,85008066,85045141,37076
ZDHHC8,22,+,20119363,20135530,16168
ZDHHC8P1,22,-,23732791,23744799,12009
ZDHHC9,X,-,128937263,128977910,40648
ZEB1,10,+,31608100,31818742,210643
ZEB1-AS1,10,-,31605456,31608024,2569
ZEB2,2,-,145141941,145277958,136018
ZEB2-AS1,2,+,145277180,145278465,1286
ZER1,9,-,131492066,131534213,42148
ZFAND1,8,-,82613565,82633539,19975
ZFAND2A,7,-,1192542,1199855,7314
ZFAND2B,2,+,220071505,220074373,2869
ZFAND3,6,+,37787306,38122399,335094
ZFAND4,10,-,46110948,46168261,57314
ZFAND5,9,-,74966340,74980163,13824
ZFAND6,15,+,80351909,80430735,78827
ZFAS1,20,+,47894714,47905795,11082
ZFAT,8,-,135490030,135725292,235263
ZFAT-AS1,8,+,135610313,135612932,2620
ZFC3H1,12,-,72003378,72057749,54372
ZFHX2,14,-,23990063,24020858,30796
ZFHX3,16,-,72816785,73092534,275750
ZFHX4,8,+,77593514,77779521,186008
ZFHX4-AS1,8,-,77523113,77595510,72398
ZFP1,16,+,75182420,75206132,23713
ZFP14,19,-,36825354,36870105,44752
ZFP2,5,+,178322915,178360210,37296
ZFP28,19,+,57050316,57068170,17855
ZFP3,17,+,4981753,4999669,17917
ZFP30,19,-,38123388,38146313,22926
ZFP36,19,+,39897486,39900052,2567
ZFP36L1,14,-,69254371,69262960,8590
ZFP36L2,2,-,43449540,43453745,4206
ZFP37,9,-,115804094,115819071,14978
ZFP41,8,+,144328990,144344875,15886
ZFP42,4,+,188916924,188926199,9276
ZFP57,6,-,29640168,29644931,4764
ZFP62,5,-,180274610,180288286,13677
ZFP64,20,-,50700549,50808524,107976
ZFP69,1,+,40943301,40962015,18715
ZFP69B,1,+,40916336,40929390,13055
ZFP82,19,-,36882860,36909550,26691
ZFP90,16,+,68573660,68601039,27380
ZFP91,11,+,58346586,58389023,42438
ZFP91-CNTF,11,+,58346586,58393205,46620
ZFP92,X,+,152683780,152687086,3307
ZFPL1,11,+,64851693,64855874,4182
ZFPM1,16,+,88520013,88601574,81562
ZFPM2,8,+,106331146,106816767,485622
ZFPM2-AS1,8,-,106792637,107072731,280095
ZFR,5,-,32354455,32444844,90390
ZFR2,19,-,3804021,3869027,65007
ZFX,X,+,24167761,24234372,66612
ZFX-AS1,X,-,24164341,24167771,3431
ZFY,Y,+,2803111,2850547,47437
ZFYVE1,14,-,73436152,73493920,57769
ZFYVE16,5,+,79703831,79775688,71858
ZFYVE19,15,+,41099273,41106767,7495
ZFYVE20,3,-,15111575,15140664,29090
ZFYVE21,14,+,104182080,104200005,17926
ZFYVE26,14,-,68213236,68283306,70071
ZFYVE27,10,+,99496877,99520664,23788
ZFYVE28,4,-,2271323,2420370,149048
ZFYVE9,1,+,52607765,52812358,204594
ZG16,16,+,29789560,29792969,3410
ZG16B,16,+,2880172,2882285,2114
ZGLP1,19,-,10415478,10420233,4756
ZGPAT,20,+,62338793,62367494,28702
